time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0314,25.44,10.3,4.02,23.21,91.9,35.5,109.98,66.91,61.05,122.23,66.34,75.99,124.38,59.79,77.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0656,25.56,10.14,5.42,23.14,93.23,34.04,109.79,67.12,59.99,122.5,66.53,75.46,124.77,59.98,77.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0979,25.72,9.9,5.64,22.76,91.47,35.43,111.2,66.09,58.74,122.81,66.44,74.86,124.8,59.51,76.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1322,25.75,9.79,4.48,23.04,92.94,33.18,111.23,65.89,59.12,122.98,66.05,75.5,124.76,59.95,77.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1645,26.88,10.28,5.39,21.88,94.45,32.96,111.38,65.72,58.07,122.99,66.11,73.36,124.59,59.66,74.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1967,27.18,10.18,4.35,22.62,94.55,32.27,111.44,65.62,57.44,123.06,66.37,73.47,125.12,59.67,75.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2298,25.62,10.17,4.37,23.1,95.33,31.82,112.37,65.38,58.87,123.06,66.81,73.28,124.46,60.5,75.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2629,25.52,10.27,4.75,23.61,96.93,31.3,112.57,65.21,60.68,122.91,66.68,74.32,124.14,60.17,75.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2981,24.59,10.11,3.29,24.45,93.7,31.95,114.18,64.52,59.47,123.57,67.06,72.63,124.01,60.66,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3323,25.62,9.8,4.01,24.5,94.25,31.3,113.06,65.26,59.1,123.4,66.84,74.14,124.22,60.91,75.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.365,24.89,9.98,3.81,24.09,95.81,30.49,113.94,64.4,59.93,123.21,66.92,73.68,123.88,60.4,74.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3973,24.9,9.95,4.05,24.1,95.62,30.88,114.62,63.87,59.2,124.01,66.67,73.69,124.67,60.44,75.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.431,25.43,9.4,2.61,23.0,97.82,29.07,113.9,63.97,58.41,123.86,66.11,74.66,124.85,59.64,76.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4649,25.03,9.7,4.72,23.52,97.32,28.78,112.59,65.74,58.63,122.97,67.52,71.92,123.45,60.66,71.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4969,25.82,10.19,2.99,23.31,97.01,31.45,114.92,63.38,60.95,124.78,65.22,74.32,125.54,58.26,73.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5311,25.73,9.52,3.27,22.54,96.73,30.32,113.43,64.83,56.7,124.06,66.64,71.75,125.43,59.66,73.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5657,25.36,9.83,3.77,23.0,96.22,30.52,113.56,64.82,59.71,123.39,67.13,73.01,123.91,60.62,71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5998,25.5,10.09,2.72,24.11,90.75,33.63,112.53,65.7,59.65,123.6,66.38,74.82,125.51,59.9,77.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6328,26.18,10.09,3.18,23.51,90.84,34.3,111.92,65.66,58.7,123.6,66.23,74.22,125.65,59.26,76.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6677,25.8,10.18,2.37,24.2,91.02,32.49,114.05,63.92,60.27,124.01,65.63,74.77,124.82,59.65,75.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6998,26.13,9.91,1.99,24.88,89.35,33.25,113.15,65.14,62.88,124.53,65.81,77.6,126.89,59.03,82.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7328,26.13,10.08,2.31,23.9,91.02,32.16,113.13,64.74,62.34,123.74,65.68,77.15,125.31,59.38,79.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7688,25.8,9.76,2.02,24.61,90.59,32.09,113.83,64.32,62.02,124.3,65.34,77.1,125.49,59.11,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8015,26.17,9.61,2.03,24.28,91.06,31.67,114.3,63.73,60.66,124.31,65.28,76.54,125.2,59.18,78.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
