time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0336,14.33,5.75,5.45,137.44,11.72,118.5,142.8,33.57,130.05,135.39,59.66,102.69,117.66,52.09,92.68
0.0711,14.16,6.27,4.97,136.49,10.05,116.54,142.58,31.26,128.95,135.33,57.43,102.85,117.66,51.71,88.51
0.1073,13.54,5.94,5.26,136.74,9.67,115.85,142.91,30.49,127.03,136.12,56.46,102.62,118.75,50.19,89.02
0.1405,13.65,6.22,4.87,138.4,10.05,117.37,143.68,30.69,126.92,136.2,56.62,102.63,118.14,51.17,88.03
0.1762,13.54,6.29,5.12,137.62,7.53,116.77,143.59,28.36,127.06,136.73,54.02,104.67,118.98,49.26,89.22
0.2135,13.63,5.99,5.17,137.12,8.6,115.51,142.98,29.54,126.85,136.17,54.97,103.9,118.99,49.58,89.36
0.2495,13.57,6.22,5.13,138.0,8.85,116.1,143.48,29.51,125.96,136.32,54.31,104.83,118.58,49.75,89.15
0.2873,13.96,6.21,5.72,137.5,8.61,116.37,142.8,29.58,127.88,135.35,54.31,106.63,117.29,49.44,93.23
0.3234,13.67,6.36,4.8,138.62,9.33,117.41,143.74,29.06,127.97,136.83,53.24,106.24,119.51,48.49,89.69
0.3606,14.11,6.19,5.25,139.29,11.27,117.69,143.8,31.74,128.88,136.48,56.69,104.65,119.21,49.81,93.09
0.3951,13.83,6.39,5.11,138.58,9.32,118.18,143.77,29.27,129.06,136.9,53.23,106.88,119.81,48.54,90.42
0.4324,13.66,6.22,5.31,138.95,9.56,116.98,144.0,29.18,128.19,137.01,53.59,107.04,119.61,48.51,91.93
0.4692,13.71,6.17,5.28,139.1,9.0,119.29,143.95,28.71,132.07,136.96,53.48,108.49,119.86,48.29,94.39
0.5075,13.72,6.31,5.19,138.85,10.35,118.79,143.51,30.62,130.42,136.4,55.26,106.5,119.28,49.42,93.88
0.5437,13.84,6.15,5.46,138.47,9.76,119.74,143.36,31.05,130.86,136.24,56.19,105.34,119.12,50.48,92.07
0.5812,13.43,5.94,5.43,137.24,11.45,117.81,142.41,32.28,128.36,135.42,57.86,103.15,118.94,50.62,91.89
0.6169,13.98,5.73,5.91,138.2,12.12,119.64,142.86,32.9,131.17,135.59,58.5,104.06,118.66,50.88,93.47
0.6532,13.72,6.09,5.53,139.06,10.58,119.04,143.77,29.84,129.46,136.8,54.47,105.33,120.44,49.09,90.41
0.6917,13.75,5.97,5.77,139.48,11.96,119.16,143.97,32.13,128.3,136.32,55.93,105.47,119.09,50.61,92.46
0.734,13.73,5.94,5.55,139.29,11.65,118.47,143.93,31.53,128.56,136.45,55.84,105.45,119.32,50.28,92.42
0.7753,13.88,6.03,5.62,138.96,11.97,119.57,143.56,32.54,130.11,136.06,57.5,104.81,118.83,51.31,92.82
0.8135,14.22,6.08,5.47,138.12,11.25,119.47,142.97,32.07,132.45,135.66,57.1,106.87,117.95,51.34,94.56
0.8521,14.19,6.17,5.72,138.26,10.21,119.63,143.06,30.98,132.49,136.0,56.12,106.76,118.8,50.74,92.97
0.891,14.26,5.98,5.53,139.12,11.73,118.12,144.18,31.32,128.51,136.82,55.15,106.78,119.13,49.91,91.34
0.9311,14.1,6.1,5.44,139.11,10.4,116.45,144.69,28.52,129.23,137.83,51.99,108.87,120.66,47.69,91.64
0.9684,14.13,6.33,5.55,138.95,10.33,117.72,144.44,29.75,130.35,137.69,54.1,107.24,120.8,48.46,93.92
