time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0457,29.63,5.92,5.98,17.23,37.48,19.93,16.02,55.03,31.74,11.47,63.22,42.66,13.84,57.06,46.45
0.0687,29.36,9.15,5.79,16.96,54.89,37.98,12.59,76.72,45.42,2.6,76.5,49.39,13.93,58.55,46.96
0.1089,31.71,7.54,6.61,17.77,42.52,25.3,15.31,66.13,37.69,8.75,74.1,44.97,13.62,64.69,47.89
0.1289,29.46,9.25,6.76,17.33,59.45,41.14,13.31,81.24,45.95,3.28,80.41,51.12,11.53,64.42,51.49
0.1745,33.35,9.4,5.96,19.59,44.33,26.09,15.99,67.14,36.59,7.81,70.3,45.25,14.34,62.23,46.67
0.196,30.5,9.03,5.13,18.23,54.74,38.15,13.43,76.52,46.01,3.54,75.93,51.32,10.21,58.93,50.04
0.2406,32.26,8.5,3.93,18.64,44.28,31.28,15.5,63.22,36.67,8.07,69.19,44.14,11.96,63.13,47.68
0.2606,29.49,9.38,6.37,17.81,54.24,36.63,12.82,74.84,45.74,2.43,73.6,50.95,11.35,54.46,46.23
0.3084,31.88,8.9,3.77,18.8,40.92,29.54,15.6,60.61,35.09,8.66,65.62,43.32,13.15,60.62,46.63
0.3254,29.98,9.1,5.47,17.61,56.37,38.36,12.78,76.32,45.88,2.61,74.98,51.66,10.98,55.58,47.83
0.3705,29.74,9.25,5.97,18.34,56.85,39.56,13.57,76.57,46.69,3.45,74.13,52.95,10.24,54.4,48.41
0.4068,31.7,8.59,5.27,18.13,47.91,35.52,15.04,63.96,39.98,7.33,70.87,46.77,13.8,66.77,50.25
0.4285,29.72,9.36,4.94,17.87,56.99,38.19,12.98,76.61,45.9,2.51,74.27,51.51,11.71,55.87,48.48
0.4735,31.74,8.78,5.89,19.29,42.3,28.91,16.55,63.33,39.8,8.35,67.92,47.6,12.74,57.96,49.22
0.4972,29.99,9.05,5.75,17.55,55.18,38.51,12.72,76.0,47.7,2.7,75.56,52.82,10.93,56.94,49.86
0.5441,32.69,9.41,4.9,18.95,48.09,35.97,15.74,62.42,40.32,7.3,66.61,47.75,11.47,61.51,49.31
0.5632,29.02,9.12,6.18,17.64,57.99,39.68,12.85,76.59,47.29,2.56,75.53,52.74,11.7,57.25,51.13
0.6108,32.02,9.49,4.73,18.67,50.78,38.01,15.66,65.55,41.72,7.28,69.64,48.81,12.83,64.03,51.52
0.6284,29.58,8.83,6.02,17.47,55.33,38.84,12.76,74.83,47.81,2.79,73.58,52.68,11.34,56.18,50.26
0.6746,32.9,9.74,4.08,19.62,47.12,34.89,16.21,62.17,39.39,7.34,65.39,46.91,11.95,57.82,49.04
0.7017,27.57,9.23,7.04,17.0,59.93,39.08,12.19,76.78,46.05,1.85,75.05,50.76,12.34,55.38,46.45
0.7432,31.46,9.2,4.81,18.65,49.25,36.63,15.74,66.75,42.0,7.72,71.52,49.31,11.91,65.74,51.65
0.758,29.72,9.48,6.18,18.09,59.79,40.8,13.33,77.58,46.4,3.04,76.1,52.28,11.07,57.31,49.94
0.8079,28.79,9.29,4.17,19.39,39.28,25.46,17.21,59.07,35.59,10.44,64.73,45.89,14.35,62.38,47.33
0.8284,29.31,9.41,6.4,17.27,58.55,39.91,12.62,78.71,45.55,2.05,76.55,51.92,12.24,57.07,47.37
0.8787,32.05,7.15,6.47,17.12,44.02,28.71,14.94,63.21,37.67,8.93,72.62,44.31,14.31,62.13,47.12
0.8903,30.93,9.57,6.41,18.76,54.43,41.47,14.58,75.95,49.48,4.17,80.07,55.84,12.43,63.5,59.89
0.9464,35.65,7.88,5.14,18.42,37.16,21.98,15.99,54.58,35.25,11.24,65.7,48.41,17.55,66.13,49.06
0.9509,31.1,9.3,4.61,20.04,41.05,30.39,16.07,64.54,48.98,7.85,79.39,55.69,11.77,69.89,61.52
