time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0231,24.63,12.75,5.26,12.15,7.45,1.95,5.86,13.24,1.97,6.3,14.63,1.6,8.29,8.71,3.49
0.0534,24.22,12.93,4.61,11.69,7.11,1.74,5.53,12.76,1.64,6.14,14.17,2.03,8.0,8.28,4.2
0.0952,24.2,12.97,2.89,11.43,6.77,1.7,5.64,12.22,1.62,6.82,13.44,2.63,8.95,7.73,4.75
0.1256,23.38,12.19,3.14,10.48,6.43,1.94,5.59,11.65,1.86,7.27,12.58,2.99,8.98,7.07,4.52
0.159,22.28,10.82,3.84,9.63,5.94,1.75,4.69,10.58,1.34,6.23,11.13,1.93,7.28,6.03,3.37
0.191,20.32,10.56,3.51,9.49,5.78,1.73,5.19,9.91,1.1,6.36,10.25,2.25,6.88,4.97,3.49
0.2246,19.34,10.52,4.47,9.71,6.23,1.82,5.98,9.7,1.17,6.25,9.76,3.39,6.0,4.75,4.48
0.248,17.69,10.42,3.63,8.56,4.69,1.89,5.0,7.59,1.44,5.82,7.33,3.44,5.87,4.28,4.91
0.2912,17.83,9.47,3.88,8.68,4.22,1.52,5.43,7.21,1.21,3.91,7.73,3.45,2.24,6.13,5.36
0.3227,16.63,8.31,5.08,9.28,3.74,1.49,5.52,6.08,1.72,2.88,7.01,3.56,3.42,7.2,5.32
0.3598,14.16,7.88,6.16,9.35,4.5,1.81,5.52,5.99,2.27,3.53,8.22,4.75,4.6,8.69,6.6
0.3936,14.6,7.9,7.43,11.37,4.81,1.89,7.03,5.86,2.36,4.44,9.0,4.93,5.36,9.67,6.71
0.4225,14.57,6.91,5.46,12.02,4.87,3.2,7.78,6.89,3.8,2.87,11.43,5.97,6.23,14.91,7.39
0.4687,25.41,13.32,7.62,11.66,0.33,2.42,2.97,1.1,2.05,9.4,1.56,2.53,24.38,0.99,2.22
0.491,23.5,7.35,7.44,13.9,5.49,1.98,8.35,7.55,2.59,0.12,5.92,3.62,9.39,4.72,5.58
0.52,28.78,13.62,13.8,17.72,6.18,5.96,2.4,9.93,7.36,6.71,54.75,25.1,12.82,44.2,15.87
0.5655,8.99,4.3,7.36,15.69,40.54,44.9,41.52,65.29,42.18,60.83,70.12,38.71,66.63,47.14,60.2
0.6276,19.3,16.18,6.94,45.22,20.69,5.16,34.09,11.0,6.14,12.15,13.79,6.99,25.33,9.28,1.44
0.6673,24.54,17.19,7.33,28.17,10.67,12.56,23.64,11.28,16.15,5.48,10.41,11.68,9.22,6.93,4.64
0.6757,20.27,12.82,4.07,38.24,2.18,0.98,22.56,4.87,6.83,10.23,5.57,10.2,10.7,3.85,8.42
0.7232,24.29,19.15,16.77,25.29,13.38,8.59,16.28,8.24,8.66,6.88,7.88,7.53,16.85,7.31,4.98
0.7541,23.7,20.88,14.12,33.59,9.95,11.24,22.69,2.99,7.64,8.47,43.42,45.81,10.8,25.95,39.74
0.7861,23.59,19.15,14.72,49.46,27.62,24.24,42.17,53.46,31.87,20.91,67.19,28.1,17.8,70.95,25.9
0.8018,32.89,27.61,24.25,31.54,18.12,20.64,24.15,11.46,21.14,14.25,22.71,20.64,14.34,12.0,12.79
0.8495,28.95,22.46,20.38,34.06,24.3,20.36,32.85,22.73,27.67,18.13,35.2,30.85,10.44,38.75,24.68
0.891,27.89,24.96,20.66,39.43,23.02,19.13,39.25,26.62,27.34,22.37,42.88,31.38,12.02,48.02,26.47
0.9224,26.65,25.5,22.68,42.45,29.51,23.73,40.09,30.8,28.99,23.21,44.4,31.35,12.3,47.81,25.48
0.9462,26.92,24.6,20.71,37.91,24.14,18.49,37.45,25.85,22.61,23.31,39.2,26.54,12.59,42.25,21.57
0.9941,28.94,23.29,20.82,36.18,23.39,20.49,36.64,29.71,24.5,21.92,45.77,26.49,11.68,49.02,21.34
