time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.011,29.19,10.13,7.03,10.47,5.9,1.63,5.01,9.62,0.8,2.65,8.09,0.58,2.9,3.75,2.08
0.0432,29.14,10.14,6.41,10.17,5.93,1.6,4.8,9.71,0.62,2.73,8.37,0.38,2.82,3.75,1.97
0.0883,28.77,10.31,6.38,10.02,5.53,1.62,4.78,9.36,0.79,2.89,8.1,0.87,2.95,3.53,2.16
0.1236,28.78,10.27,6.3,10.25,5.56,1.52,4.92,9.33,0.8,2.79,7.88,0.98,3.23,3.46,2.34
0.1572,28.77,10.41,5.59,10.12,5.61,1.63,4.97,9.44,0.82,2.87,8.13,1.01,2.99,3.52,2.32
0.1893,28.72,10.46,5.81,10.01,5.42,1.55,4.81,9.21,0.81,2.86,7.89,1.02,3.02,3.33,2.26
0.2237,28.13,10.35,5.56,10.11,5.45,1.82,5.08,9.18,0.93,3.07,8.07,1.21,3.08,3.48,2.32
0.2581,28.28,10.43,5.81,10.3,5.56,1.52,4.88,9.27,0.66,2.57,7.76,0.68,2.96,3.28,2.06
0.2916,29.38,10.89,5.82,10.13,5.18,1.53,4.96,9.0,0.83,2.74,7.72,1.05,2.95,3.24,2.32
0.3225,28.87,10.67,5.81,10.2,5.57,1.25,4.9,9.46,0.61,2.28,7.79,0.46,2.5,3.36,2.07
0.3588,27.48,10.56,4.38,9.86,5.02,1.75,4.91,8.83,1.04,2.82,7.5,1.38,2.81,3.15,2.49
0.3925,27.76,10.97,4.29,9.8,5.21,1.71,4.99,8.98,1.01,3.02,7.71,1.27,2.86,3.43,2.35
0.4238,28.45,10.85,4.78,9.58,5.26,1.67,4.92,9.14,0.78,2.85,7.9,1.2,2.61,3.64,2.62
0.4615,27.15,10.2,4.74,9.99,5.13,1.85,5.35,8.73,1.14,2.86,7.37,1.37,2.5,3.48,2.34
0.4989,26.32,9.74,4.1,10.01,5.17,1.83,5.46,8.85,1.07,2.73,7.5,1.55,2.23,3.91,2.59
0.5238,26.05,9.15,5.26,10.53,5.0,1.6,6.13,8.64,1.31,2.9,7.05,2.04,1.78,3.94,2.87
0.5543,26.56,8.69,6.81,10.3,4.93,1.81,6.25,8.24,1.25,2.88,6.79,2.13,1.31,3.76,2.77
0.5888,27.13,8.67,6.5,10.38,4.85,1.92,6.26,8.28,1.39,2.75,6.77,2.07,1.11,3.6,2.56
0.6222,26.25,8.69,7.01,10.67,4.86,1.78,6.24,8.0,1.57,2.61,6.22,2.22,0.93,3.48,2.79
0.6607,45.96,9.61,7.09,9.53,3.77,1.99,4.51,5.96,0.78,2.19,4.63,2.75,8.06,3.21,2.19
0.6791,27.97,8.41,8.44,11.11,5.37,1.59,6.03,8.8,1.12,2.45,6.69,1.61,1.64,3.76,2.82
0.7233,42.0,11.1,7.26,10.58,5.24,2.09,4.77,7.62,0.46,2.04,5.71,3.04,9.41,2.67,1.6
0.7463,28.23,8.5,8.23,11.33,5.3,1.76,6.21,8.89,1.42,2.74,6.88,1.92,2.1,3.4,3.03
0.7895,27.32,8.06,9.3,11.51,5.12,1.67,6.23,8.45,1.46,2.42,6.37,1.95,2.01,3.45,2.87
0.8227,27.0,7.93,7.8,11.89,5.18,1.8,6.6,8.62,1.61,2.43,6.56,2.2,1.65,3.31,3.1
0.8575,27.16,8.08,7.57,11.84,4.82,1.52,6.34,8.2,1.48,2.33,6.04,2.02,1.73,3.19,3.06
0.8896,27.57,7.66,7.66,12.17,4.97,1.62,6.55,8.26,1.39,2.4,6.09,1.89,1.87,3.02,2.87
0.9224,27.32,7.73,6.61,12.42,4.77,1.38,6.78,8.16,1.32,2.38,5.83,1.86,1.66,2.91,2.8
0.9551,27.07,8.23,6.0,12.03,4.58,1.25,6.43,7.93,1.05,1.98,5.67,1.48,1.66,2.81,2.45
0.9859,28.31,7.7,7.16,12.36,4.77,1.48,6.65,8.28,1.27,2.36,6.1,1.7,1.33,2.85,2.61
