time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.48,19.38,16.15,10.98,3.11,3.12,100.53,65.16,16.57,117.81,62.3,30.18,116.79,64.3,34.96
0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84,20.05,15.85,10.82,3.19,3.06,101.52,64.07,16.93,118.56,61.61,30.1,116.88,64.41,35.07
0.1086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.37,19.07,15.38,11.23,3.43,3.37,99.52,66.79,17.92,117.35,62.92,34.27,116.72,64.9,39.3
0.1454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19,19.97,14.73,10.53,3.15,3.11,99.86,66.15,17.46,117.89,62.15,31.59,116.83,64.43,35.51
0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45,19.8,15.5,10.62,3.13,3.16,100.43,65.57,17.5,116.75,63.26,30.73,115.39,65.72,34.85
0.2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92,19.96,16.32,10.59,3.26,3.15,100.4,65.63,17.5,117.54,62.62,32.6,116.89,64.12,36.74
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22,20.09,16.71,10.6,3.25,3.08,99.51,65.97,16.77,116.91,62.97,29.93,115.62,65.28,34.43
0.2972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74,19.46,15.57,10.66,3.1,3.03,99.06,66.31,16.68,116.82,63.28,29.66,115.38,66.0,34.26
0.3361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,19.38,15.64,10.64,2.97,3.22,98.5,67.62,17.49,115.89,64.24,31.04,114.46,66.92,35.41
0.3727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,19.15,15.76,10.37,2.92,3.08,99.81,65.69,16.93,116.86,63.01,29.43,115.93,65.07,34.38
0.4093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61,19.79,17.1,10.42,2.99,3.34,100.5,65.37,17.86,116.19,63.75,30.05,114.47,66.67,34.6
