time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.69,11.04,5.18,41.16,72.71,16.95,114.29,67.39,67.97,119.97,69.18,75.13,114.01,75.51,68.2
0.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.81,10.71,4.62,41.49,72.72,16.3,113.95,68.07,65.3,119.14,70.49,74.4,113.57,76.51,68.41
0.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58,10.43,4.46,41.54,71.94,16.25,112.86,69.12,60.96,118.69,71.16,70.13,113.18,76.71,66.79
0.1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.07,10.49,4.79,41.14,73.78,16.25,113.29,68.92,61.81,118.85,71.17,71.85,112.52,77.77,67.13
0.1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.53,10.2,6.75,42.21,71.64,14.8,114.29,68.01,63.63,120.27,69.87,72.48,114.35,75.57,67.19
0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,9.91,4.68,41.61,73.45,16.41,114.74,67.96,64.2,119.61,70.56,72.38,112.49,78.03,66.36
0.2668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.16,9.92,6.46,41.4,73.22,15.25,113.64,68.68,66.49,119.39,70.56,74.84,113.6,76.64,67.76
0.3035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.81,10.57,6.02,41.13,72.27,15.56,112.84,68.92,61.04,119.11,70.56,70.32,114.33,75.8,66.88
0.3425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.26,10.6,5.3,41.23,73.04,15.08,114.24,67.92,62.23,119.85,70.03,70.52,114.55,75.59,66.55
0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.31,10.26,4.91,42.28,70.52,14.64,114.3,67.83,65.28,119.99,69.85,72.74,113.71,76.16,67.06
0.4185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52,10.2,4.11,41.25,72.45,16.1,114.08,68.08,65.52,118.89,70.73,73.17,112.57,77.72,67.8
0.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,10.44,4.84,41.56,72.02,14.77,114.39,67.81,68.08,119.59,70.02,73.64,111.83,77.73,66.22
0.4935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.53,10.09,5.31,40.76,73.08,15.38,112.67,69.4,64.1,118.03,71.45,71.24,111.42,78.62,66.06
0.5296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83,9.66,4.38,40.94,72.91,15.64,113.36,69.29,71.01,119.27,70.73,77.2,111.98,78.24,67.05
0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54,9.16,4.9,41.75,73.02,13.64,113.21,69.06,71.35,119.56,70.33,78.85,112.78,77.61,68.85
0.6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,9.93,6.07,41.63,74.3,13.23,112.94,69.41,72.26,119.36,70.31,80.07,112.99,77.58,69.75
0.6459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49,9.9,9.36,42.43,72.25,13.84,114.0,68.78,72.76,119.7,70.38,79.24,113.05,77.73,70.29
0.6871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33,9.72,10.09,40.26,77.27,13.21,113.22,69.25,69.72,119.74,70.34,79.56,113.47,77.79,70.74
0.7275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56,9.77,9.89,39.33,72.3,16.66,113.26,69.65,72.49,119.03,71.22,77.57,112.4,77.98,68.32
0.7684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41,9.41,9.2,40.59,74.89,12.95,113.39,69.06,71.07,117.98,71.43,78.88,110.73,79.78,70.1
0.8087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78,9.53,12.02,39.57,73.63,13.72,112.8,69.84,62.64,118.52,71.63,69.6,111.06,79.69,65.05
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,10.23,9.39,39.85,76.42,14.88,114.03,68.29,69.17,119.17,70.61,75.51,111.22,79.06,66.58
0.8912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,9.82,7.44,40.94,73.12,13.76,115.01,67.19,69.36,119.87,69.63,77.76,112.24,78.04,67.46
0.9313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,9.76,8.41,40.09,75.77,14.42,113.98,68.33,68.84,118.51,71.15,77.03,111.07,79.64,68.28
0.9757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.77,7.96,40.55,73.17,13.99,114.57,67.41,68.39,119.9,69.7,76.29,112.2,78.19,66.68
