time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0346,10.97,9.05,7.53,23.86,81.23,41.35,10.45,22.51,32.38,4.94,20.04,17.13,1.39,13.99,10.92
0.0704,10.05,8.9,9.19,23.71,83.52,39.93,10.34,22.5,32.62,4.75,20.41,17.27,1.52,14.16,10.91
0.1074,10.13,8.69,8.83,24.1,79.18,42.58,10.68,21.63,30.67,5.21,19.75,16.56,2.02,13.66,10.9
0.1449,10.56,8.82,8.02,24.2,76.77,44.0,10.79,21.63,31.17,5.3,19.57,16.48,1.83,13.65,10.99
0.1824,10.7,8.75,7.49,24.98,76.56,43.41,10.85,21.94,31.55,5.13,19.62,16.35,1.3,13.8,10.84
0.22,10.13,8.94,8.1,24.85,76.93,43.4,10.7,21.55,31.17,5.03,19.62,16.35,1.22,14.01,11.09
0.2572,10.41,8.65,8.1,24.65,81.26,40.93,10.78,21.61,30.83,4.99,19.48,16.2,1.31,14.4,11.39
0.2944,10.11,8.49,8.39,25.13,82.42,39.55,11.02,22.05,29.63,5.11,19.55,15.3,1.28,13.77,10.54
0.331,10.77,8.36,6.4,25.44,75.72,43.24,11.1,22.01,31.1,5.35,19.49,15.76,1.38,14.08,10.89
0.3685,10.87,8.5,7.08,25.74,74.64,43.76,11.09,22.63,32.12,5.31,20.18,16.26,1.13,14.39,10.86
0.4046,11.19,8.66,6.48,24.83,74.34,43.95,11.0,22.35,30.12,5.41,19.7,15.64,1.14,14.03,10.85
0.4411,10.74,8.8,8.45,23.58,78.67,41.76,10.46,20.97,26.54,4.88,18.54,14.48,0.75,13.95,10.79
0.4774,9.77,8.76,11.34,24.8,82.94,38.61,10.82,20.67,24.44,4.51,17.88,14.17,1.23,12.71,10.49
0.5132,9.86,9.12,12.06,23.88,86.1,37.53,10.72,20.91,23.05,4.69,17.69,13.72,1.7,12.14,10.3
0.5565,10.35,9.95,13.59,21.83,87.95,38.46,10.42,20.79,23.58,4.61,17.72,14.43,1.24,11.49,10.79
0.5936,9.21,11.03,18.89,20.45,96.56,32.76,9.74,21.05,18.82,4.21,17.44,12.07,0.68,10.29,9.74
0.6299,10.06,11.02,19.24,17.76,110.23,27.13,8.65,18.55,16.96,3.21,14.27,10.27,1.79,8.69,7.99
0.6663,11.58,13.19,17.8,16.39,109.64,26.44,8.87,18.42,14.29,3.82,14.09,10.58,1.85,7.99,8.73
0.7021,11.2,13.02,18.66,16.02,110.76,25.91,8.74,18.66,13.99,3.69,14.24,10.33,2.36,7.72,8.55
0.7372,10.84,12.62,19.3,16.9,109.2,26.62,9.04,18.15,13.74,3.84,14.48,10.68,1.83,8.49,8.81
0.7731,10.63,13.28,19.52,16.64,108.86,27.07,8.92,18.41,13.51,3.95,14.37,10.39,1.97,8.26,8.65
0.812,11.58,13.22,19.13,16.39,107.54,28.7,8.81,18.68,14.49,3.82,14.39,10.74,1.41,8.36,8.97
0.8482,11.15,13.55,19.43,16.1,111.33,25.96,8.87,18.28,13.27,3.87,13.69,10.36,2.25,7.7,8.67
0.888,11.96,14.3,19.59,15.4,111.92,25.43,9.03,18.1,12.69,4.19,13.87,10.35,2.11,7.38,8.41
0.9235,11.23,14.02,21.04,15.18,113.77,24.37,8.87,18.29,12.82,4.08,14.36,10.22,2.64,7.74,8.46
0.9593,11.28,12.51,17.36,17.12,107.15,28.41,9.22,17.89,13.82,3.96,14.35,10.63,1.94,8.72,8.8
0.9956,11.82,13.6,20.16,15.67,111.89,26.11,8.73,17.44,11.35,3.93,13.64,9.41,2.05,7.59,8.06
