time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.033,26.64,21.6,71.91,9.89,2.02,2.97,47.71,128.81,21.97,63.99,122.44,33.29,72.95,116.39,35.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0691,28.73,25.25,66.1,9.43,1.47,2.77,46.25,129.93,21.62,65.05,121.23,32.78,75.62,114.02,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.104,27.36,25.62,67.46,9.38,0.71,3.03,46.01,128.91,20.34,66.61,118.71,32.26,74.92,114.05,36.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1521,28.27,24.56,71.73,9.7,1.93,3.32,46.38,129.57,21.69,64.86,121.24,34.09,75.51,113.96,37.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1728,27.4,26.41,73.99,10.46,0.7,3.22,45.62,129.41,21.77,63.76,121.27,33.77,75.43,112.34,38.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2068,25.83,23.98,70.55,9.63,2.61,2.61,46.66,130.28,22.12,63.96,122.82,33.66,71.73,118.17,36.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2386,30.03,27.53,76.55,10.48,1.06,3.13,45.55,128.91,23.72,64.64,120.17,35.94,76.16,111.46,39.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2878,27.05,23.96,63.28,9.01,2.19,2.19,47.86,129.54,20.28,65.27,122.08,31.4,72.56,118.01,35.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3219,24.24,26.52,74.8,10.31,1.77,2.87,44.93,130.77,23.3,62.44,123.46,35.63,72.79,116.52,38.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3573,23.55,26.74,79.84,8.98,2.47,2.92,47.03,128.88,21.23,64.23,121.81,32.02,70.77,119.32,35.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3921,27.21,27.01,78.36,9.77,1.19,2.91,44.4,130.15,21.28,63.48,121.36,33.2,74.18,114.28,37.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4281,25.7,24.88,80.73,9.22,2.44,3.25,47.48,128.96,22.34,64.75,121.43,33.96,73.19,116.24,36.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4613,28.69,24.86,71.55,10.36,0.27,3.3,46.07,128.28,21.33,64.89,119.75,33.73,73.99,113.31,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4959,27.76,24.11,68.02,9.73,2.87,2.71,48.58,129.1,22.23,67.34,120.12,35.45,74.32,116.25,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5324,25.33,26.8,72.74,9.35,1.49,2.23,44.6,131.02,19.44,61.21,124.93,30.46,71.91,118.28,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5671,25.67,25.45,73.24,9.03,1.51,3.05,44.83,130.13,20.25,63.75,121.85,32.3,71.56,118.31,35.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6073,28.93,27.67,69.78,9.7,1.01,2.97,44.83,130.39,20.59,64.04,121.34,31.8,74.42,114.06,36.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6409,28.62,25.7,71.46,9.73,1.38,2.95,46.46,129.35,20.14,65.88,120.07,31.59,76.64,113.01,37.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6857,28.73,25.47,68.57,9.66,1.07,3.22,45.0,130.01,20.25,65.02,120.27,32.44,74.85,113.63,36.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7206,29.56,24.3,67.72,10.14,1.88,2.86,44.96,130.73,20.89,64.53,121.12,32.38,75.56,113.1,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
