time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0197,34.0,11.36,7.13,6.07,3.13,2.16,1.78,5.91,1.05,7.44,2.47,8.05,17.01,58.98,41.96
0.0404,35.83,10.96,7.67,5.87,2.86,1.93,3.15,4.37,1.0,8.24,3.13,7.59,20.51,51.27,37.18
0.0871,34.15,11.04,6.49,6.34,2.22,2.15,2.31,4.81,0.9,8.57,3.27,5.52,17.4,29.71,29.99
0.1185,33.84,11.5,7.38,6.19,3.0,2.02,1.99,5.2,0.78,7.96,2.28,6.68,17.36,33.56,33.74
0.1525,32.94,11.79,7.63,7.48,3.87,1.93,0.45,8.33,1.77,7.12,5.37,7.81,12.79,54.43,60.62
0.1828,34.47,11.78,6.65,6.9,2.87,1.97,2.16,3.74,0.58,9.29,2.87,7.22,26.73,85.7,26.53
0.2175,34.42,12.01,7.06,7.2,2.97,2.2,1.27,6.73,0.81,8.01,4.19,6.31,14.72,35.77,43.76
0.246,35.51,11.85,7.76,6.07,2.52,2.11,1.98,4.84,0.66,8.42,2.16,6.25,20.76,67.3,34.42
0.2853,34.87,12.23,7.23,6.98,2.75,2.24,0.72,6.27,1.39,7.16,4.08,5.58,21.26,106.29,18.33
0.3166,29.86,11.29,7.87,6.08,3.9,2.17,0.27,8.52,2.17,5.77,7.17,4.46,4.81,4.23,6.41
0.3544,31.09,8.52,5.22,6.33,2.39,3.54,2.87,4.31,2.06,4.92,3.09,4.9,5.97,4.35,6.24
0.3871,31.74,9.61,6.7,7.25,2.97,3.88,3.52,4.8,3.55,4.05,3.54,4.45,6.4,3.67,4.24
0.4198,30.77,10.49,8.16,7.56,3.2,3.78,3.41,7.18,3.41,2.77,6.08,4.52,4.48,2.94,3.78
0.4552,32.24,11.08,9.32,7.58,2.71,3.48,4.32,6.14,3.06,2.53,4.2,5.14,5.55,0.7,4.78
0.487,31.64,10.06,9.1,6.46,3.0,3.07,4.47,6.69,3.12,2.98,5.09,4.59,5.58,2.14,4.06
0.5197,32.37,11.15,9.65,6.76,3.65,3.14,4.71,7.09,3.16,2.6,5.55,4.05,4.76,2.78,3.57
0.5506,32.67,10.8,9.24,7.05,3.83,2.82,4.57,7.43,3.01,2.69,5.86,4.15,4.67,3.35,4.09
0.5826,32.25,10.37,9.17,7.66,2.59,2.85,4.34,6.42,2.69,2.23,4.54,4.68,4.42,2.26,4.63
0.6101,33.45,10.84,10.37,7.99,3.37,2.6,4.53,7.09,2.69,1.52,5.15,4.09,3.45,2.05,3.95
0.6543,32.21,10.94,10.66,8.43,4.4,2.57,4.58,8.3,2.52,1.07,6.97,2.91,1.91,4.12,2.83
0.6853,31.67,11.46,10.84,8.14,5.12,2.31,4.11,8.86,2.27,1.85,7.88,2.27,1.83,5.19,3.05
0.7179,31.32,11.19,9.02,8.24,5.05,2.29,4.35,8.64,2.21,3.01,7.89,1.71,2.66,5.63,2.9
0.7486,31.82,11.89,9.14,8.69,5.61,2.2,4.71,9.22,1.62,3.84,8.63,1.1,2.9,5.92,2.97
0.7829,30.53,11.86,9.21,8.78,5.67,2.09,4.78,9.08,1.29,3.83,8.31,1.34,2.62,5.76,3.14
0.8213,31.08,11.97,9.0,8.77,5.22,1.92,4.79,8.66,1.25,4.27,8.09,1.35,3.15,5.6,3.2
0.8525,29.13,11.54,9.31,8.82,5.65,1.78,4.91,8.62,1.15,4.37,7.79,1.43,3.01,5.82,2.81
0.8829,29.05,11.84,8.69,9.21,5.39,1.87,4.86,8.54,1.24,3.61,7.83,1.26,2.41,5.65,2.97
0.906,29.1,12.28,9.17,9.9,5.33,1.32,5.04,8.63,1.06,3.14,7.94,1.27,1.9,5.0,2.88
0.9543,28.5,11.72,9.46,9.67,5.18,1.18,5.25,8.34,0.93,3.48,7.64,1.73,2.02,4.79,2.91
0.9829,27.45,11.32,9.04,9.66,5.55,1.41,5.42,8.56,0.99,3.48,7.74,1.84,1.55,5.25,2.99
