time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0358,24.47,24.15,20.77,7.49,2.21,2.51,5.48,4.01,1.62,7.3,3.87,4.81,10.28,1.71,5.33
0.0752,24.85,23.72,20.91,7.52,2.44,2.84,5.45,3.82,1.73,7.03,3.66,4.83,10.33,1.22,5.43
0.1134,24.72,23.59,21.24,7.6,2.29,2.6,6.0,3.84,1.54,7.46,3.67,4.7,11.09,1.68,5.2
0.1527,24.25,23.74,21.2,7.6,2.21,2.51,5.4,4.1,1.58,7.04,3.78,4.82,10.09,1.36,5.13
0.1916,25.79,23.3,19.82,8.33,2.08,2.54,5.78,3.85,1.77,7.49,3.98,5.0,10.72,1.49,5.42
0.2295,25.15,23.32,19.35,7.91,2.18,2.49,5.78,4.09,1.77,7.4,3.82,4.91,10.52,2.0,5.28
0.2685,25.05,23.22,18.95,7.85,2.2,2.34,5.87,4.0,1.74,7.49,3.82,5.06,10.5,2.07,5.38
0.3062,24.9,23.05,20.43,8.06,2.21,2.32,6.17,4.15,1.58,7.84,3.97,4.93,10.87,1.95,5.32
0.343,25.01,22.46,19.33,8.03,2.2,2.24,6.22,4.25,1.58,8.1,3.88,4.93,11.35,2.21,5.15
0.3814,24.53,22.67,19.71,8.08,2.09,2.3,6.18,4.09,1.7,7.98,3.88,5.03,11.11,1.91,5.18
0.4209,24.75,22.71,20.25,7.99,2.15,2.35,6.0,3.92,1.67,7.88,3.82,4.99,10.88,2.0,5.14
0.459,24.52,22.53,19.8,8.03,2.15,2.53,6.13,4.1,1.66,8.03,3.83,4.93,11.18,2.14,5.14
0.5072,24.59,22.59,19.39,8.04,2.13,2.41,6.01,4.17,1.85,8.17,3.91,5.23,10.9,2.07,5.29
0.5448,24.31,22.82,19.93,8.08,1.98,2.33,5.88,4.11,1.83,7.89,3.83,5.21,10.63,1.96,5.24
0.5839,24.56,22.46,20.34,8.05,2.07,2.49,6.04,4.06,1.75,8.17,3.76,5.1,11.17,2.04,5.2
0.6215,25.05,22.84,19.12,8.01,2.0,2.38,5.89,3.92,1.91,8.0,3.72,5.1,11.31,1.83,5.27
0.6634,24.56,22.8,18.94,8.01,2.34,2.61,5.89,4.1,1.71,7.88,4.05,5.01,10.97,1.58,5.3
0.7021,25.46,23.1,19.06,8.03,2.37,2.69,6.45,4.04,1.56,8.01,3.99,4.86,10.76,1.24,5.28
0.7401,24.66,22.89,18.93,8.13,2.27,2.62,6.1,4.12,1.75,7.92,3.91,5.05,10.89,1.66,5.3
0.7787,24.75,23.1,19.24,8.02,2.3,2.62,5.86,4.08,1.86,7.95,3.89,5.03,10.88,1.69,5.23
0.8186,25.74,22.78,18.74,8.18,2.34,2.56,6.2,4.0,1.72,8.04,3.92,5.06,10.87,1.79,5.35
0.8599,24.98,23.06,19.67,7.93,2.35,2.62,5.9,3.82,1.73,8.02,3.71,5.05,10.78,1.77,5.34
0.8982,25.19,22.99,19.08,8.03,2.46,2.57,6.15,3.92,1.61,7.94,3.72,4.94,10.95,1.95,5.38
0.9366,25.31,23.14,19.16,8.08,2.31,2.48,6.28,3.94,1.56,8.17,3.83,5.02,11.27,1.76,5.47
0.9747,25.03,22.36,19.03,8.11,2.17,2.42,6.16,3.96,1.66,8.14,3.91,5.12,11.22,1.88,5.45
