time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0306,28.83,49.17,20.18,2.6,0.96,1.47,5.55,7.36,1.43,28.72,147.36,8.56,27.7,141.85,16.09
0.0619,29.0,48.54,19.89,3.16,0.87,1.33,6.16,7.04,1.16,35.13,141.83,8.51,31.68,141.53,13.31
0.0988,28.83,49.95,17.06,3.71,1.51,1.07,6.8,7.94,1.58,35.29,141.56,8.21,31.0,141.07,13.74
0.1304,29.35,50.95,20.65,3.14,1.17,1.33,6.0,8.1,1.11,33.02,142.42,8.65,30.9,140.34,14.96
0.1623,29.72,51.24,16.28,2.74,1.02,1.33,6.69,8.34,0.97,35.33,138.5,8.75,32.39,134.09,14.99
0.1984,30.34,49.46,20.49,2.93,0.93,1.51,6.07,8.06,1.37,34.57,138.96,9.08,35.18,133.99,15.63
0.2295,29.93,50.28,19.28,3.55,1.14,1.07,7.45,8.51,0.68,38.6,135.85,9.22,34.49,136.17,13.93
0.2653,30.51,49.08,22.44,2.89,0.87,1.42,7.16,9.01,0.26,39.06,132.73,9.8,38.52,127.9,15.12
0.2975,30.57,48.37,26.12,3.07,0.86,1.3,7.11,9.04,0.48,39.11,132.7,10.47,37.86,129.17,16.28
0.3307,30.8,50.62,30.56,2.55,0.34,1.6,6.57,8.43,1.22,44.71,129.46,9.97,41.24,128.23,13.91
0.3623,30.64,50.76,28.4,2.66,0.59,1.48,6.85,8.5,0.88,42.16,131.5,10.0,38.95,130.81,13.64
0.3943,31.65,47.02,21.76,2.51,0.23,1.48,7.16,7.95,1.3,45.36,129.67,10.02,43.31,127.46,13.75
0.4299,31.52,48.8,27.94,2.12,0.36,1.57,6.45,8.46,1.62,44.53,130.21,10.31,43.67,128.14,13.93
0.4626,31.39,49.38,24.72,1.83,0.29,1.36,7.01,7.66,1.5,42.57,132.1,10.62,41.03,128.52,15.47
0.4906,31.82,48.54,25.85,1.64,0.78,1.37,7.26,7.08,1.37,42.93,132.51,10.54,42.55,128.19,14.68
0.5295,32.24,47.85,29.01,1.74,0.34,1.66,7.66,7.66,0.29,44.08,129.33,10.84,43.3,126.66,14.76
0.5627,31.48,45.49,25.06,1.32,1.7,1.73,7.68,5.72,0.33,41.6,133.99,11.75,41.23,130.33,15.09
0.5919,31.86,46.59,23.87,1.18,0.5,1.75,7.84,7.51,0.57,43.62,132.35,10.53,44.95,128.24,14.5
0.6296,32.28,47.58,21.45,1.17,1.63,1.71,8.3,6.93,0.22,44.8,130.62,11.0,45.66,126.48,14.26
0.6647,32.04,51.04,28.1,1.12,1.15,1.6,7.56,6.73,0.68,41.91,132.66,11.23,43.53,127.01,15.27
0.6962,32.57,46.75,20.41,1.43,0.88,1.49,7.72,6.18,0.46,43.38,132.78,11.16,43.82,129.38,13.96
0.7298,32.0,48.12,25.88,1.31,0.76,1.59,7.59,6.73,0.09,43.36,131.99,10.99,43.75,129.08,14.33
0.7629,32.12,49.48,24.8,1.62,0.82,1.37,7.76,6.76,0.96,42.93,132.18,11.08,42.76,128.57,14.6
0.7927,31.5,49.65,21.08,1.56,0.85,1.43,7.31,6.73,0.46,41.74,133.58,10.67,41.02,130.12,14.4
0.8295,32.12,45.69,23.16,1.62,0.8,1.5,8.69,7.64,0.15,46.9,127.68,10.95,47.21,124.08,14.34
0.863,32.12,49.92,29.87,1.43,0.51,1.57,8.42,7.65,0.99,47.72,127.67,10.97,46.2,125.22,14.43
0.8887,33.31,45.89,23.85,1.21,0.6,1.45,8.16,7.31,0.75,47.41,126.15,11.12,48.65,120.9,15.19
0.9302,32.88,48.45,27.55,1.38,0.49,1.54,8.1,7.29,0.58,45.96,127.92,11.34,45.58,124.73,15.17
0.9633,32.06,46.94,22.6,1.36,1.19,1.61,8.3,6.96,0.28,45.37,130.0,11.19,44.15,127.07,14.54
0.9861,32.76,46.85,22.84,1.76,0.99,1.43,7.76,6.16,0.67,42.46,132.56,11.09,43.9,126.97,14.46
