time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0324,21.47,16.46,7.78,13.5,6.19,1.58,7.38,11.75,2.62,7.44,11.42,5.0,10.24,6.25,4.85
0.0674,21.18,15.99,8.26,14.52,7.11,1.59,8.44,12.81,2.45,7.42,12.21,4.83,9.43,6.38,4.92
0.0976,20.52,16.66,8.34,15.02,7.9,1.01,9.07,13.77,2.07,7.8,13.14,4.41,9.44,7.08,4.73
0.13,20.91,17.37,9.13,15.19,8.35,0.24,9.29,15.07,1.11,8.52,15.14,4.26,9.61,8.39,5.4
0.1631,19.78,16.61,10.08,14.58,8.6,0.54,8.81,15.32,0.73,8.69,15.78,3.91,9.72,8.74,5.37
0.1958,19.19,16.92,9.9,14.27,8.46,0.72,8.91,15.11,0.96,8.91,15.45,4.33,9.87,8.71,5.61
0.2294,19.52,17.32,8.76,14.49,8.26,0.86,8.97,14.58,1.31,8.57,14.63,4.62,9.36,8.19,5.75
0.2601,20.59,17.19,7.22,14.14,7.59,1.19,8.86,13.53,1.88,9.08,13.73,5.42,10.11,7.94,5.93
0.295,20.55,17.04,7.31,13.69,7.72,1.15,8.67,13.85,1.82,9.26,14.29,5.46,10.07,8.38,6.05
0.33,19.4,16.5,8.27,13.24,7.56,1.49,8.26,13.63,1.96,8.87,13.92,5.47,9.8,8.12,6.04
0.3561,19.5,16.2,6.92,12.4,7.42,1.63,7.79,13.3,1.95,8.67,13.47,5.38,9.96,7.75,5.93
0.3888,19.94,15.67,5.14,12.31,7.09,1.91,7.55,12.83,2.35,8.46,13.24,5.43,9.86,8.34,6.07
0.4295,19.55,14.71,3.94,11.49,7.07,2.73,7.14,12.54,3.23,8.31,12.99,6.09,10.1,8.35,6.25
0.4523,17.76,13.2,3.56,10.92,7.06,2.55,6.98,12.58,3.11,8.56,13.68,5.99,9.94,9.66,6.74
0.4858,19.94,13.01,2.85,10.34,8.92,2.58,6.97,14.26,3.46,9.73,15.78,6.53,10.45,10.22,8.33
0.534,19.7,12.11,2.36,10.13,11.3,3.01,7.12,15.44,4.49,10.04,16.0,6.5,9.8,12.0,8.97
0.5638,18.61,9.74,2.68,11.62,15.33,10.12,9.6,16.26,7.84,9.47,18.79,10.18,7.61,17.77,11.26
0.5953,17.38,7.22,4.87,13.2,23.75,18.43,11.26,27.16,19.41,9.49,25.75,20.81,6.87,19.04,13.91
0.6294,19.99,8.64,5.58,15.61,26.66,19.48,12.1,30.93,19.69,7.64,32.5,25.68,7.32,28.07,18.47
0.6678,21.73,3.15,3.96,16.0,14.92,12.59,13.14,23.94,18.06,9.59,22.18,20.25,13.96,17.31,17.01
0.6915,17.36,14.78,20.35,11.26,24.14,12.47,8.68,24.09,13.34,3.86,28.61,18.32,5.95,25.69,15.38
0.7175,22.58,9.67,12.51,28.31,69.93,29.8,36.04,57.22,31.66,25.17,50.8,30.61,15.3,38.39,28.4
0.7711,20.82,42.15,29.41,35.18,69.25,28.61,56.39,67.35,35.82,70.87,56.64,35.31,61.86,27.79,22.68
0.8078,32.59,34.33,11.04,52.17,14.42,4.9,48.41,14.49,5.66,19.93,15.1,2.05,18.65,13.96,0.84
0.8281,27.99,26.31,8.95,55.24,17.86,15.71,34.2,20.99,14.68,21.07,60.12,36.94,33.87,69.79,27.46
0.8582,33.44,25.78,16.93,61.59,33.24,20.87,54.77,61.34,36.38,32.87,77.2,30.63,33.0,83.67,24.53
0.886,29.15,19.2,15.59,63.42,34.61,23.06,50.76,70.71,31.9,36.82,83.99,24.72,36.39,88.18,15.94
0.9366,37.77,28.86,17.37,63.81,29.26,24.05,47.82,45.84,42.74,22.34,61.94,47.58,26.39,91.47,30.06
0.9536,28.61,24.01,11.67,59.32,36.86,23.0,39.47,45.57,29.9,23.36,60.69,34.1,41.37,70.72,22.73
0.993,36.42,26.7,15.77,60.94,30.31,28.29,44.99,37.39,35.98,21.89,53.89,46.15,31.43,80.08,28.53
