time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0369,24.57,15.39,54.5,38.72,117.48,12.3,8.16,3.52,5.38,5.67,3.44,2.64,8.56,1.8,3.14
0.0755,25.48,14.59,50.79,38.08,117.31,11.84,8.03,3.76,5.18,5.45,3.62,2.47,8.54,1.46,3.21
0.114,26.26,15.63,51.58,36.88,118.54,12.09,8.02,3.76,5.39,5.43,3.55,2.53,8.25,1.7,2.89
0.1557,25.9,15.3,50.82,37.74,117.46,12.12,7.89,3.82,5.41,5.17,3.72,2.7,8.62,1.98,2.96
0.1943,25.81,15.96,51.75,38.1,117.51,12.08,7.69,4.47,5.53,4.52,4.22,2.54,8.52,2.3,2.96
0.2339,25.96,14.52,52.09,35.61,119.32,12.41,8.04,4.71,5.72,5.1,4.23,2.71,8.71,2.29,2.97
0.271,25.2,15.94,52.06,37.3,118.44,12.04,8.05,4.07,5.25,5.15,3.46,2.4,8.99,2.31,3.15
0.3102,24.12,15.77,52.31,37.95,118.26,12.05,8.15,4.3,5.08,5.18,3.82,2.53,9.03,1.88,3.2
0.3508,25.09,15.69,51.65,37.33,118.95,11.9,8.01,4.41,5.03,5.02,4.01,2.38,8.93,1.87,3.18
0.3879,25.19,14.9,50.98,37.49,118.12,11.88,8.03,4.28,5.17,5.16,4.19,2.54,8.74,1.92,3.06
0.4237,25.15,15.44,53.11,37.87,118.18,12.12,8.03,4.1,5.14,5.21,3.72,2.44,9.05,2.31,3.1
0.46,25.05,15.84,52.28,36.87,119.03,11.99,7.88,4.0,5.14,5.17,3.6,2.46,8.99,1.96,3.01
0.4956,24.94,15.25,53.15,35.53,119.86,11.71,7.4,4.5,5.0,4.97,3.81,2.39,9.32,1.79,3.19
0.532,24.96,15.42,53.22,36.17,118.81,11.92,7.29,4.64,5.28,4.68,4.03,2.44,9.14,2.0,3.14
0.5692,25.09,15.72,52.04,36.21,118.48,12.24,7.44,4.45,5.23,4.52,3.66,2.29,9.12,1.86,3.17
0.6049,24.62,14.93,53.27,34.81,120.4,11.64,7.19,5.02,5.26,4.64,4.09,2.52,9.39,1.63,3.32
0.6401,24.87,15.84,53.02,36.9,118.53,11.84,7.42,4.4,4.97,4.61,3.58,2.35,9.32,1.9,3.34
0.6769,24.64,15.03,53.58,34.5,120.2,12.34,7.13,5.07,5.34,4.46,4.43,2.45,9.5,1.34,3.36
0.7127,25.14,15.33,54.21,36.65,118.87,11.99,7.41,4.48,5.04,4.9,3.99,2.41,9.19,1.61,3.23
0.7496,25.27,15.33,52.58,34.76,120.6,12.23,7.16,4.64,5.26,4.55,4.25,2.48,8.98,1.64,3.18
0.7884,24.74,15.38,53.34,36.1,119.83,11.9,7.61,4.52,5.16,5.04,3.82,2.44,9.03,1.75,3.3
0.8232,24.58,14.88,53.5,35.25,120.54,11.76,7.43,4.29,5.05,5.32,3.83,2.71,9.14,1.78,3.16
0.8597,24.77,15.01,52.21,37.12,118.33,11.76,7.62,4.51,5.03,4.81,3.94,2.48,9.09,1.68,3.24
0.8953,25.19,13.37,50.85,34.83,119.54,12.04,7.46,4.79,5.48,4.91,4.38,2.63,9.24,2.07,3.08
0.932,25.22,13.33,48.3,33.21,119.34,11.86,7.37,4.69,5.34,5.91,3.97,2.75,9.04,1.93,3.25
0.9709,24.19,11.79,45.89,33.19,118.62,11.42,7.0,4.19,5.07,5.86,3.45,2.82,9.63,2.17,3.51
