time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0329,21.39,22.03,31.42,17.16,6.61,3.91,38.84,128.07,13.19,40.15,132.66,15.89,37.04,141.51,17.2
0.0729,54.64,25.98,39.07,10.55,4.24,1.28,34.01,93.16,6.23,73.38,78.4,8.73,81.87,68.32,9.56
0.0901,20.1,20.44,30.26,16.83,6.13,4.17,41.09,125.56,13.18,41.88,131.46,15.69,38.41,140.84,16.99
0.1394,54.41,27.59,34.34,11.33,10.02,5.49,39.6,92.22,6.73,80.98,70.41,10.35,92.2,56.09,11.51
0.1623,59.0,28.93,23.96,22.14,6.25,5.23,45.09,105.26,12.32,56.49,99.07,18.84,54.18,97.96,11.31
0.1902,21.07,20.67,30.81,16.53,6.24,4.04,42.26,124.17,12.93,42.68,130.37,15.32,38.19,140.91,16.55
0.2333,21.13,20.25,29.42,16.44,6.27,4.09,40.91,125.59,13.38,41.3,131.49,16.14,38.48,139.98,17.36
0.2676,22.29,20.4,29.39,16.15,6.43,4.18,40.59,125.19,12.82,40.71,131.2,15.15,38.34,139.34,16.36
0.3054,22.08,20.1,28.53,15.92,6.46,4.07,43.8,121.18,12.27,44.81,127.13,14.3,41.54,136.95,15.32
0.3401,21.18,20.37,28.91,15.67,6.5,3.98,43.29,122.38,12.48,44.2,128.17,14.72,39.95,138.64,15.63
0.3671,21.01,20.17,30.13,16.08,6.49,3.98,43.42,121.76,12.48,43.95,128.39,14.56,40.44,138.6,15.87
0.4006,20.78,19.67,29.2,15.97,6.26,4.08,41.5,124.2,12.91,42.25,130.25,15.19,39.42,139.28,16.45
0.4334,21.02,19.47,28.42,15.55,6.31,3.72,40.75,124.21,12.57,41.2,130.97,14.42,38.07,140.38,15.7
0.4682,20.57,20.17,29.85,15.75,6.48,3.63,41.17,124.12,12.58,41.74,130.16,15.03,37.51,140.55,16.24
0.5006,20.91,20.09,31.66,15.97,5.92,4.03,42.13,122.93,13.14,42.98,129.24,15.67,39.16,138.98,17.11
0.5291,20.38,20.15,30.26,15.82,5.98,3.91,41.9,123.85,12.89,42.7,130.15,15.31,39.09,139.83,16.65
0.5676,40.37,25.2,34.83,4.9,3.87,1.95,44.93,91.91,8.33,84.87,65.87,6.85,87.21,58.68,6.98
0.579,19.65,19.72,30.6,16.45,6.23,4.24,44.19,120.65,12.95,45.26,126.94,15.19,42.18,136.23,16.65
0.6317,19.84,19.4,28.29,16.42,5.87,4.74,44.14,121.56,14.31,44.72,128.53,17.64,40.13,139.18,18.47
0.6733,20.13,19.26,29.05,16.7,5.96,4.73,44.32,120.76,13.76,45.45,127.06,16.67,41.57,136.88,17.86
0.7052,20.38,19.73,31.02,16.93,6.3,4.03,43.12,122.1,13.08,45.03,127.68,15.73,42.68,136.07,17.23
0.7365,20.12,19.02,29.62,16.66,6.18,3.93,42.49,123.26,13.27,44.52,129.13,16.12,42.15,137.53,17.51
0.7689,47.48,29.79,27.82,11.38,3.34,3.64,45.99,106.42,8.67,62.01,95.1,10.61,56.78,98.61,10.34
0.7843,19.44,18.85,28.94,16.83,6.39,3.87,42.2,122.72,12.9,44.41,128.28,15.64,42.39,136.34,17.36
0.8342,20.16,19.03,29.91,16.69,6.25,4.38,42.77,123.02,13.67,44.36,128.93,16.57,41.72,137.72,18.0
0.8639,20.1,18.92,31.51,16.77,6.41,4.06,42.26,122.86,13.32,44.55,128.24,16.08,41.79,136.76,17.58
0.8994,20.22,19.09,30.73,16.97,6.17,3.84,42.1,123.54,13.08,45.22,127.91,16.12,43.09,135.71,17.7
0.9284,20.35,18.73,29.25,17.0,5.86,4.56,44.96,120.05,13.64,47.22,125.59,16.91,44.64,134.3,18.45
0.9672,20.65,19.18,29.71,16.59,5.66,4.73,44.62,120.35,13.62,47.55,125.17,16.62,44.99,133.17,18.13
0.9998,19.54,18.13,26.84,16.7,6.38,4.3,42.48,121.38,12.99,44.27,127.25,15.49,42.55,135.28,16.96
