time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.036,24.45,17.91,15.04,21.22,85.61,34.87,10.49,14.37,2.22,4.49,8.79,4.39,2.74,4.56,6.46
0.0731,21.35,18.41,17.97,20.49,87.98,34.82,10.21,13.91,1.89,4.0,8.11,4.13,2.94,4.18,6.39
0.1094,23.08,17.61,15.97,20.78,87.39,34.17,10.48,14.56,2.25,4.42,8.52,4.33,2.8,4.33,6.3
0.1468,20.6,18.12,17.08,22.17,84.23,35.31,10.84,14.45,2.11,4.28,8.63,4.2,3.42,4.83,6.62
0.1825,21.77,18.24,16.09,22.6,85.25,34.28,10.98,14.46,2.07,4.49,8.74,4.26,3.35,4.42,6.53
0.2201,22.45,17.73,16.18,21.67,85.53,35.25,10.53,14.11,1.91,4.16,8.64,4.06,3.27,4.38,6.33
0.2576,23.37,18.3,16.35,21.47,84.06,35.97,10.72,13.96,2.02,4.54,8.86,4.11,3.46,4.69,6.25
0.2933,22.27,18.41,16.76,21.25,85.04,35.81,10.65,14.39,1.8,4.28,8.6,3.9,3.84,4.65,6.41
0.3311,21.47,18.49,16.9,22.22,84.13,35.27,10.7,15.01,1.96,4.15,8.5,3.99,3.54,4.67,6.41
0.3673,22.82,17.84,16.07,21.17,86.99,34.83,10.48,14.72,2.17,4.32,8.75,4.16,3.32,4.55,6.36
0.4036,23.26,18.25,15.73,20.8,84.86,35.61,10.39,14.93,2.44,4.55,8.83,4.42,2.89,4.35,6.32
0.4395,22.63,18.48,16.49,21.21,86.16,35.2,10.6,14.67,2.19,4.45,8.82,4.22,3.15,4.65,6.42
0.4786,22.73,17.46,14.4,22.75,85.56,34.02,11.11,14.45,2.27,4.52,8.87,4.18,3.43,4.53,6.5
0.5143,21.87,18.04,17.04,23.15,85.33,33.98,11.07,14.59,2.16,4.43,8.99,4.26,3.51,4.44,6.54
0.552,22.88,17.8,16.13,21.96,85.66,34.41,10.58,14.94,2.29,4.37,8.79,4.34,3.02,4.45,6.51
0.5886,23.56,17.74,16.1,20.72,86.56,34.74,10.24,14.41,2.24,4.3,8.74,4.25,2.92,4.37,6.38
0.6242,22.95,18.16,16.14,22.36,83.97,34.84,10.72,14.44,2.4,4.43,8.55,4.4,3.21,4.48,6.51
0.6605,22.47,18.28,16.17,23.43,83.85,34.19,11.14,13.9,2.39,4.73,8.6,4.6,3.2,4.53,6.8
0.6977,22.5,19.01,17.07,21.78,85.4,34.27,10.67,14.12,2.4,4.7,8.53,4.54,3.09,4.6,6.68
0.7355,22.8,18.68,17.07,20.46,85.97,34.55,10.31,14.75,2.75,4.67,9.01,4.82,2.75,4.66,6.64
0.7724,21.38,18.53,17.66,21.0,87.36,34.54,10.41,14.16,2.53,4.3,8.41,4.61,2.44,4.2,6.43
0.8088,21.64,18.71,16.4,22.14,85.61,34.17,10.67,14.1,2.31,4.36,8.08,4.37,2.97,4.28,6.45
0.8566,21.73,18.78,17.12,22.02,84.41,35.02,10.93,14.69,2.35,4.56,8.45,4.44,2.98,4.31,6.49
0.8939,21.73,18.65,17.34,21.29,84.75,35.82,10.44,14.68,2.48,4.46,8.68,4.43,2.56,4.54,6.29
0.9302,22.17,18.02,16.68,21.11,87.87,34.04,10.53,14.66,2.6,4.34,8.88,4.64,2.42,4.36,6.3
0.9664,21.84,18.1,17.04,21.07,87.55,33.76,10.41,14.65,2.43,4.31,8.62,4.45,2.75,4.36,6.31
