time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0022,22.79,25.89,27.08,18.32,6.58,6.29,44.21,119.28,11.73,47.58,119.29,15.75,30.19,137.48,14.28
0.0504,23.53,25.46,26.94,18.25,6.58,6.1,43.69,120.06,11.39,46.96,120.13,14.8,29.28,138.56,13.49
0.0923,21.76,25.09,26.51,17.48,6.51,5.92,42.78,119.69,11.25,45.16,121.06,14.4,28.1,139.48,13.57
0.1245,23.19,25.91,27.72,18.31,6.42,6.08,43.57,121.22,11.69,46.21,121.82,15.95,29.01,139.6,14.4
0.1483,22.13,24.93,26.17,17.99,6.63,6.08,43.28,119.91,11.29,46.06,120.59,14.64,28.39,139.25,13.61
0.1965,43.31,26.81,24.3,17.91,5.93,7.33,39.31,121.65,11.85,42.72,118.59,15.48,37.65,125.1,15.3
0.2118,22.71,25.72,26.61,18.57,6.33,5.99,44.41,119.79,11.18,45.96,121.34,14.72,27.74,139.48,12.9
0.2447,24.3,26.12,28.52,18.21,6.92,5.98,44.61,118.68,11.06,47.31,119.22,14.3,29.71,137.59,13.06
0.2936,23.5,24.89,27.2,17.85,5.98,6.04,43.11,119.97,11.66,45.42,121.76,15.21,30.89,137.93,14.24
0.3233,24.73,25.69,26.83,18.2,6.17,6.2,41.34,122.71,12.09,44.11,123.33,16.32,29.56,138.76,15.26
0.3546,21.73,25.13,28.2,18.27,7.07,5.84,41.94,122.04,11.59,44.82,122.73,14.89,28.1,140.8,14.19
0.3861,21.49,26.04,30.08,18.3,7.14,5.73,44.21,119.75,11.15,46.67,120.38,14.46,27.68,140.1,13.48
0.4179,22.19,25.93,28.16,18.22,6.82,5.73,43.23,120.81,11.43,45.06,122.52,14.85,27.74,141.03,13.7
0.4501,23.0,25.68,28.75,18.38,6.95,5.77,42.33,121.53,11.3,44.43,122.54,14.54,27.84,139.82,13.5
0.4858,23.89,25.81,28.64,17.79,6.65,6.14,44.73,118.75,11.34,46.9,120.29,14.54,29.68,138.86,13.53
0.518,25.34,25.6,26.2,18.14,6.13,6.22,41.84,121.88,12.04,44.4,123.02,16.17,30.54,137.61,14.94
0.5463,23.79,24.84,26.18,18.3,6.03,6.26,43.17,120.0,11.9,46.19,120.91,15.91,31.85,136.71,14.74
0.5866,25.08,25.73,25.97,18.41,6.13,6.26,43.38,120.41,11.87,46.71,120.69,16.11,31.85,136.38,14.75
0.6258,24.38,25.13,25.97,17.94,5.85,6.08,42.76,120.78,11.67,46.22,121.3,15.92,31.75,137.33,14.72
0.6566,24.29,25.41,26.11,18.06,6.21,5.93,42.07,121.11,11.61,44.86,122.26,15.46,30.31,138.06,14.37
0.6891,23.71,25.83,26.96,17.95,6.66,5.7,42.66,120.28,11.7,46.88,120.05,15.27,31.67,137.08,14.18
0.7213,24.32,25.5,26.91,18.28,6.32,6.08,41.86,121.43,11.81,44.88,122.25,15.43,30.41,137.91,14.45
0.7517,23.6,25.05,26.89,17.93,6.58,6.02,43.36,119.69,11.5,45.51,121.44,14.76,30.21,138.18,13.79
0.7882,41.14,26.23,20.06,19.2,5.5,7.69,40.61,121.19,11.81,46.11,117.06,14.85,41.45,123.87,14.71
0.8195,24.27,25.34,27.67,18.29,6.69,5.78,43.67,119.88,11.27,46.76,120.32,15.16,31.24,137.01,14.16
0.8585,23.01,25.09,27.67,17.9,6.84,5.59,41.14,122.52,11.36,42.23,125.0,14.39,27.64,140.97,13.72
0.8865,23.68,25.55,27.44,17.98,6.57,5.84,43.15,120.1,11.19,45.18,121.79,14.54,29.25,138.69,13.6
0.918,24.22,25.15,25.2,17.89,6.47,5.76,41.57,121.55,11.27,44.07,122.87,14.55,29.49,138.47,13.5
0.9594,24.0,25.19,28.35,18.03,6.84,5.89,43.34,120.27,11.45,44.53,122.85,14.82,30.01,138.7,13.93
0.9924,24.97,26.04,27.53,18.3,6.8,5.7,43.53,120.51,11.07,45.05,122.39,14.31,28.99,138.92,12.93
