time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,6.64,6.79,24.61,133.89,49.91,60.46,108.12,99.09,72.7,108.26,101.39,74.18,116.65,83.2
0.0705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,5.85,5.0,25.64,132.84,55.81,61.37,108.49,106.08,75.39,106.29,106.29,77.97,111.08,90.11
0.1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87,5.73,6.51,29.56,130.41,58.31,64.88,106.83,104.79,77.51,105.4,107.26,79.19,110.41,92.93
0.1445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27,5.37,6.25,25.64,132.88,56.19,63.69,106.9,106.61,77.46,105.5,109.3,77.65,113.58,91.7
0.1814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92,5.86,7.24,29.21,129.9,58.51,64.17,106.44,105.87,76.71,105.16,107.85,78.21,111.02,91.24
0.2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,5.42,6.05,27.77,132.79,59.58,63.65,108.21,106.23,75.44,107.47,108.4,75.26,114.77,92.76
0.2555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,4.94,5.76,32.86,128.7,64.24,66.59,106.33,106.88,76.11,106.65,107.44,73.69,114.49,92.16
0.2923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76,5.14,5.93,28.62,130.66,60.14,64.59,106.28,107.92,75.47,106.68,108.54,73.6,116.22,88.0
0.3282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,4.71,5.38,28.73,130.89,60.91,65.74,106.19,108.99,78.6,104.83,111.29,78.52,111.97,93.86
0.3765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,4.85,5.54,28.95,129.0,60.91,65.39,105.3,109.24,77.69,104.71,110.56,75.99,113.91,93.21
