time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0336,12.56,9.52,12.8,68.69,166.04,24.08,51.45,148.02,11.73,53.34,123.7,14.49,76.52,119.87,21.15
0.072,12.75,9.71,12.72,68.96,166.62,23.07,51.8,148.36,11.56,54.07,124.02,14.32,76.85,120.25,21.13
0.1087,12.67,9.55,13.39,69.37,162.23,26.39,52.29,148.79,12.11,53.6,124.45,14.72,76.35,120.74,20.48
0.1452,12.83,9.33,12.73,69.59,161.41,26.98,53.29,150.0,11.95,53.14,125.91,14.51,75.49,122.21,19.65
0.1831,12.18,9.42,13.06,68.48,162.8,28.59,51.57,150.88,11.23,52.34,126.83,13.86,75.36,122.95,18.53
0.2178,12.82,8.93,13.46,70.23,161.45,27.98,53.57,149.88,12.02,53.08,125.89,14.39,75.08,122.48,19.73
0.254,12.13,9.37,13.24,68.8,164.65,27.61,52.22,151.42,11.0,52.56,127.46,13.72,75.16,123.55,18.54
0.2915,12.49,10.03,13.04,68.84,164.27,27.03,52.21,150.43,11.23,53.36,126.36,13.81,75.83,122.26,18.89
0.3276,12.77,9.26,13.34,70.18,162.57,27.3,54.05,149.1,12.05,54.01,125.26,14.39,75.7,121.9,20.15
0.3637,12.32,9.43,13.26,67.75,165.76,26.62,51.41,151.15,10.83,52.77,127.2,13.61,75.49,123.3,18.79
0.4,12.53,9.64,13.05,69.06,162.81,27.74,53.03,149.5,11.8,53.62,125.74,14.1,75.57,122.21,19.48
0.4357,12.45,9.77,12.42,69.04,163.26,27.92,52.95,150.27,11.65,53.56,126.41,14.11,75.54,122.61,18.95
0.472,12.41,9.98,12.41,69.26,163.49,26.96,52.88,150.83,11.65,53.51,126.75,14.25,75.66,122.6,18.65
0.5102,12.61,9.47,13.14,70.43,160.34,29.19,54.41,150.38,12.69,53.49,126.29,15.16,75.16,122.73,18.87
0.5457,12.38,9.93,13.1,68.52,162.04,29.77,52.19,152.7,11.47,52.67,128.1,14.16,75.09,123.81,17.68
0.581,12.73,9.46,13.13,70.44,160.96,27.89,53.95,150.88,12.14,52.87,126.77,14.76,74.9,122.86,19.01
0.6177,12.68,10.24,12.75,68.74,161.28,29.66,52.96,151.74,11.99,54.02,127.34,14.65,76.0,123.06,18.04
0.6536,12.76,9.55,13.45,69.78,163.53,26.3,53.42,150.18,12.11,53.19,126.2,14.74,75.13,122.43,19.56
0.691,12.62,9.3,12.76,68.86,160.38,29.47,52.77,151.24,12.07,52.44,126.84,14.6,75.1,122.73,18.7
0.7371,12.76,9.36,13.02,70.07,161.03,28.55,54.0,150.3,12.32,53.23,126.39,14.77,75.11,122.54,19.16
0.772,12.43,10.23,12.75,69.06,160.28,30.55,52.85,152.5,11.87,53.2,128.08,14.41,75.33,123.61,17.53
0.8091,12.87,9.8,12.81,69.11,161.4,28.21,53.2,150.11,12.56,53.7,125.91,15.09,75.89,121.78,19.32
0.8442,12.7,9.36,13.35,70.54,159.03,29.87,54.53,150.93,12.38,52.87,126.86,14.84,74.62,123.18,18.79
0.8809,12.48,9.97,12.92,69.69,159.14,31.33,53.66,153.52,12.12,52.92,128.78,14.76,75.14,124.27,17.08
0.9166,12.41,9.56,12.88,69.55,161.84,28.33,53.7,153.05,11.53,52.3,128.54,14.31,74.15,124.32,17.99
0.9532,12.36,9.79,12.83,69.46,164.4,26.78,53.41,153.59,10.71,52.5,128.77,13.87,74.64,124.25,17.82
0.988,12.37,9.65,13.2,69.37,166.32,25.74,52.88,153.58,9.79,52.68,128.6,13.03,75.16,123.55,18.72
