time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0216,39.83,33.09,26.74,10.25,2.31,4.33,10.92,5.55,4.81,16.81,150.64,13.91,40.66,127.48,17.5
0.0554,38.34,33.17,27.97,10.13,1.73,4.6,10.84,5.72,4.77,17.14,149.84,13.81,37.59,129.84,17.59
0.0905,37.41,32.67,29.98,10.03,1.95,4.82,11.8,6.32,4.31,17.52,148.95,12.84,35.53,130.33,16.67
0.1311,35.78,32.62,26.7,9.84,2.68,5.04,11.47,6.25,4.36,17.17,149.84,12.63,37.73,129.48,16.62
0.1621,36.64,33.35,27.32,9.61,2.37,5.0,11.03,6.0,4.52,16.42,150.98,12.29,36.82,130.4,15.71
0.1949,36.46,32.36,25.76,10.25,2.44,5.03,11.09,5.17,4.44,16.55,152.74,12.51,37.18,131.68,15.93
0.2266,35.27,31.01,26.52,9.68,2.79,5.23,11.77,5.93,3.73,17.77,148.49,13.04,33.61,132.38,17.08
0.2595,34.17,30.49,26.27,9.07,3.19,5.2,11.66,6.42,3.98,15.89,148.75,13.24,31.22,132.91,17.48
0.2906,34.32,31.52,22.57,9.63,2.52,4.62,11.49,5.11,3.85,17.34,149.62,13.13,30.84,134.61,16.65
0.3221,37.4,32.61,26.41,10.04,2.76,5.26,11.13,5.58,4.52,17.12,151.17,12.58,37.02,130.62,15.88
0.3542,35.98,31.65,23.86,10.04,2.56,4.82,11.62,5.81,4.0,17.19,150.55,13.17,35.15,132.82,16.67
0.3881,36.99,33.56,32.45,9.65,1.64,4.95,11.23,6.41,4.74,16.09,150.09,12.73,36.01,130.16,16.74
0.4216,37.64,32.78,26.04,9.87,2.86,4.81,10.93,6.38,4.7,15.77,149.65,13.21,37.54,128.64,16.32
0.4546,38.58,31.23,23.72,10.31,2.54,4.9,11.53,5.54,4.5,17.23,151.28,13.41,39.03,129.43,17.55
0.4882,36.02,32.96,28.13,9.62,2.43,5.25,11.07,6.51,4.5,15.93,148.9,13.0,34.86,129.8,17.04
0.5231,38.45,32.76,25.75,10.0,1.93,4.83,10.95,5.31,4.66,17.6,151.55,13.18,40.71,128.66,17.3
0.5465,37.55,32.71,27.94,10.01,2.24,4.59,11.31,5.7,3.74,17.1,150.82,12.31,34.27,133.36,15.99
0.5902,37.42,32.98,28.12,9.72,2.27,4.88,10.99,5.7,4.82,16.31,151.58,12.96,38.2,130.14,16.73
0.6231,39.2,32.53,23.84,10.05,2.54,4.65,10.93,5.68,4.85,16.59,150.51,13.64,40.65,127.12,17.27
0.6572,37.69,32.88,24.9,9.84,3.0,4.79,11.43,5.89,4.23,16.88,150.26,13.13,36.97,129.78,17.15
0.6906,35.71,31.96,22.91,9.73,2.66,4.94,11.39,5.16,4.15,18.5,150.63,12.87,37.7,132.03,16.96
0.7218,37.49,33.67,30.96,9.4,1.86,4.91,11.45,6.03,4.41,15.82,151.24,11.87,33.56,133.64,15.32
0.7544,38.04,33.9,29.41,9.53,2.52,4.51,10.67,5.87,5.04,15.56,150.93,13.5,36.63,130.37,17.4
0.788,38.66,33.07,27.6,9.96,2.22,4.71,11.2,6.26,4.84,16.01,148.09,14.07,36.39,128.87,17.57
0.8195,38.65,32.63,26.25,10.03,2.08,4.85,11.43,6.07,4.77,17.68,149.94,13.29,40.96,127.11,17.01
0.8569,38.12,33.02,31.58,9.36,1.72,5.34,11.05,6.31,5.09,17.95,148.41,14.35,37.34,129.24,19.11
0.8882,36.29,32.33,27.23,9.65,2.0,4.8,11.85,5.68,3.72,16.63,149.41,12.92,33.34,132.39,17.48
0.92,38.77,32.67,28.42,9.82,2.3,5.11,11.15,5.58,5.11,17.11,150.87,13.43,37.27,130.31,17.71
0.952,37.45,33.02,29.61,9.63,1.56,4.7,11.31,5.94,4.13,17.76,149.18,12.9,34.63,131.76,16.78
0.988,38.31,32.37,25.31,10.0,2.42,4.75,11.37,6.1,4.56,18.15,148.95,13.79,38.92,128.63,17.66
