time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0262,22.21,25.93,46.57,16.17,5.16,4.5,29.19,135.32,16.25,50.28,121.37,24.82,55.52,118.69,29.73
0.0677,22.28,24.9,48.14,15.93,4.93,4.76,29.3,136.71,17.02,48.3,123.92,25.28,55.57,119.02,30.1
0.0944,23.44,26.09,49.06,16.3,5.31,5.15,30.0,135.37,16.8,48.93,123.18,24.87,56.12,118.85,29.24
0.1263,23.31,26.13,46.86,15.79,5.05,4.67,29.4,136.21,17.17,50.53,121.83,25.75,58.24,116.75,31.11
0.1601,22.19,25.91,49.72,15.8,4.99,4.61,28.6,135.34,16.6,49.22,122.51,24.52,57.97,116.04,29.88
0.1913,20.93,25.28,45.62,15.84,4.98,4.2,28.06,136.57,16.33,48.47,123.47,23.96,53.05,121.41,28.47
0.2251,23.36,26.49,46.83,16.63,5.22,5.32,30.65,134.6,17.8,49.91,121.82,26.93,58.49,115.54,32.1
0.2567,22.97,26.24,46.53,16.09,4.86,5.09,29.71,134.19,17.23,51.6,120.05,26.34,62.44,111.66,32.07
0.2871,22.06,25.41,48.04,15.64,4.79,4.71,28.9,136.54,17.06,49.14,123.28,25.84,56.32,119.02,30.76
0.3252,22.79,26.05,49.59,15.83,5.07,4.65,28.58,136.43,16.64,49.39,122.68,24.47,57.25,117.29,29.74
0.3573,24.52,26.74,47.49,16.35,4.97,5.26,29.97,134.84,17.93,50.81,120.57,26.83,60.9,112.97,32.66
0.3902,23.47,26.34,47.64,16.15,5.01,4.8,28.49,135.98,17.03,50.39,121.69,25.05,60.57,114.16,30.51
0.4245,22.95,26.4,49.48,16.44,5.2,4.94,29.2,135.44,16.62,48.19,123.31,24.24,56.67,117.09,29.24
0.4582,23.09,26.6,48.14,16.63,5.07,4.98,29.74,134.32,17.18,49.73,121.65,26.12,56.51,117.48,31.43
0.4895,23.73,26.15,49.03,16.43,5.18,5.16,29.5,135.08,16.79,48.83,122.75,25.23,57.93,116.3,30.18
0.5222,22.97,26.07,49.33,16.26,5.02,4.72,29.28,134.98,16.43,50.21,121.39,24.68,58.83,115.38,30.05
0.5541,22.88,25.91,47.94,16.37,5.07,5.12,30.34,135.04,17.59,48.98,122.82,26.61,55.55,118.86,31.7
0.5855,23.38,26.26,48.45,16.32,4.91,4.93,28.74,135.39,17.36,50.22,121.27,26.14,59.46,114.5,32.1
0.6187,22.35,25.9,50.88,15.96,5.22,4.28,27.86,135.69,16.19,48.25,123.15,23.49,56.78,117.18,29.1
0.6507,23.29,26.05,50.05,16.38,5.39,5.32,29.82,135.63,17.45,45.29,126.51,25.4,51.34,122.57,29.26
0.6816,22.22,25.94,47.44,16.35,5.34,4.8,28.62,135.95,16.16,47.05,124.63,23.9,52.35,121.82,27.92
0.7159,22.6,25.58,48.71,16.36,5.26,5.06,29.02,136.04,16.76,46.87,125.04,24.43,53.53,120.53,28.79
0.7587,22.97,26.19,50.21,16.49,5.22,5.02,28.88,135.83,17.17,46.89,124.51,25.35,53.0,120.67,30.05
0.7933,22.2,25.96,48.17,16.41,5.15,4.83,29.67,134.35,16.56,49.69,121.96,25.04,58.06,116.34,30.41
0.825,22.92,26.23,49.66,16.25,5.25,4.92,28.88,135.99,16.93,47.97,123.51,25.05,54.74,119.28,29.67
0.8583,22.63,26.02,47.93,16.03,5.11,4.52,28.2,135.93,16.41,49.08,122.74,23.95,57.98,116.26,29.37
0.8877,22.99,25.98,49.64,16.21,5.26,4.44,27.66,135.76,16.68,46.76,124.15,24.38,54.85,118.33,29.51
0.9203,23.61,25.13,44.68,16.35,5.13,4.97,28.93,135.82,16.92,47.07,124.72,25.19,55.67,118.75,29.72
0.952,23.31,25.25,48.65,15.98,5.21,4.63,28.53,136.0,16.68,46.7,125.13,24.27,55.78,118.31,29.02
0.987,22.63,26.39,50.1,16.62,5.28,4.82,28.82,135.75,16.55,47.21,124.44,24.18,53.15,121.11,28.48
