time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14
0.0234,22.65,24.83,50.44,16.26,4.81,5.27,32.09,134.22,18.65,53.44,119.8,27.71,61.33,114.46,32.52
0.0552,22.91,24.91,53.57,16.12,4.83,5.4,31.05,135.18,18.69,50.53,122.41,27.09,56.34,118.78,30.49
0.0889,21.08,24.17,50.77,15.71,4.96,4.78,31.5,134.17,17.17,55.08,118.35,25.67,62.53,113.49,30.02
0.1235,21.73,24.82,50.61,16.03,4.69,5.22,31.29,135.51,18.08,52.19,120.94,26.8,57.28,117.83,30.99
0.1563,22.74,24.33,50.66,16.06,4.64,5.3,31.56,135.59,18.7,51.8,121.73,27.6,59.57,116.25,31.97
0.1904,21.42,23.67,46.87,16.29,4.87,5.42,31.51,135.05,18.49,52.03,121.39,27.02,57.5,118.23,30.39
0.2201,21.87,24.97,51.04,16.46,5.09,5.65,32.27,133.96,18.23,50.87,121.92,26.83,56.58,118.82,30.72
0.2549,22.47,24.69,50.4,15.93,5.01,5.27,31.99,133.9,18.18,53.53,119.4,26.77,60.05,115.46,30.76
0.2849,22.61,24.0,52.88,16.0,4.78,5.04,30.11,136.67,18.14,49.18,123.95,26.22,56.31,118.9,30.41
0.3156,23.13,25.39,49.97,16.34,5.26,5.49,31.69,133.96,17.89,51.02,121.38,26.24,58.22,116.67,30.58
0.3522,22.74,24.41,49.64,15.95,5.02,4.98,29.35,136.23,17.66,48.53,124.58,25.31,55.1,120.47,28.9
0.3787,23.48,24.98,52.39,16.34,5.2,5.74,32.49,134.1,18.38,50.06,122.53,27.19,57.69,116.99,31.58
0.4232,22.83,24.54,47.56,16.12,4.8,5.54,30.2,136.21,17.95,51.09,122.08,25.91,59.06,116.43,29.63
0.4589,22.45,25.34,47.62,16.45,5.1,5.62,31.29,134.66,17.91,50.69,121.94,26.05,55.32,119.5,29.17
0.4904,23.95,25.02,50.69,16.04,4.68,5.87,31.39,136.19,19.16,49.98,123.52,27.87,58.76,117.3,31.7
0.5223,22.94,24.64,49.19,16.07,5.18,5.4,31.28,134.51,17.49,52.29,120.62,25.03,60.67,114.8,28.89
0.5542,23.67,25.04,48.97,16.5,4.97,5.89,32.96,133.7,18.51,51.17,121.63,26.99,58.66,116.31,30.71
0.5855,23.27,24.54,48.23,15.88,4.88,5.24,30.38,136.22,18.05,50.2,122.89,26.24,57.97,117.37,30.17
0.6181,23.48,24.87,49.43,16.38,4.9,6.0,31.21,135.12,18.72,49.33,123.59,27.15,56.73,118.62,30.57
0.6521,23.32,24.58,48.08,16.09,5.02,5.74,31.95,135.25,18.3,49.91,123.27,26.69,57.89,117.73,30.93
0.6877,22.63,24.8,49.76,16.08,5.05,5.43,31.05,135.76,17.41,48.6,124.3,25.14,54.52,120.76,29.28
0.7136,22.47,24.66,50.7,16.3,5.01,5.6,32.25,134.54,17.9,51.53,121.63,26.59,58.22,117.39,30.9
0.7521,23.74,25.09,51.21,16.38,5.14,5.82,32.06,135.29,18.61,49.86,123.19,26.93,57.61,117.67,30.74
0.7782,23.27,24.66,49.11,16.12,4.76,5.78,30.82,135.95,18.2,49.72,123.32,26.64,58.55,116.95,30.91
0.8106,23.33,24.54,48.03,15.95,4.84,5.45,29.96,136.53,17.33,48.72,124.06,25.55,57.58,117.52,30.31
0.8567,23.58,24.88,51.75,16.13,5.1,5.68,31.51,135.38,18.37,50.65,122.24,27.03,58.82,116.52,31.1
0.8903,23.77,25.33,48.72,15.99,5.03,5.48,31.16,135.85,17.83,50.54,122.69,25.94,59.64,116.07,30.0
0.9209,23.88,25.17,51.26,16.14,5.05,5.54,31.62,135.02,18.52,51.23,121.99,27.23,59.92,116.22,31.52
0.9522,23.49,25.3,50.67,16.25,5.0,5.7,31.78,135.41,18.61,49.28,123.81,26.8,55.59,120.01,30.27
0.9839,23.51,25.21,50.24,16.12,5.29,5.47,30.4,135.64,17.39,49.65,122.88,25.54,58.13,116.48,29.6
