time_sec,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29
0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,20.0,17.44,10.3,3.68,3.24,100.33,66.34,17.76,116.92,63.38,31.16,115.58,65.53,34.78
0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.34,19.93,16.5,10.27,3.67,3.32,99.63,66.9,17.96,116.5,63.82,31.72,115.47,65.75,35.67
0.1138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85,20.48,17.09,10.18,3.41,3.25,100.21,66.18,17.75,116.82,63.4,31.06,116.54,64.68,35.24
0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,20.22,16.9,10.18,3.44,3.1,100.37,65.55,17.35,116.46,63.3,29.48,115.93,64.84,33.57
0.1891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92,20.69,18.27,9.95,3.13,3.39,100.81,64.74,18.07,116.23,62.92,30.32,115.4,64.84,34.56
0.2275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.93,15.79,10.09,3.65,3.06,100.44,65.37,17.13,116.44,63.51,29.12,115.42,65.21,32.83
0.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,19.96,17.7,10.13,3.37,3.3,98.16,68.44,18.04,115.15,65.03,31.35,113.48,67.65,35.45
0.3041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.18,21.04,19.35,9.47,3.03,3.16,98.34,67.6,17.74,115.5,64.35,30.56,114.03,67.02,34.48
0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,20.98,18.16,9.55,3.31,3.16,99.7,65.97,18.25,115.42,64.25,31.34,114.55,66.49,35.37
0.3785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.58,20.15,17.86,9.65,3.8,3.07,98.88,67.05,17.59,115.14,64.77,29.94,113.87,66.94,33.44
0.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09,19.57,17.23,9.76,3.68,2.91,98.77,67.43,17.41,115.11,65.07,30.23,113.79,67.4,34.68
0.4548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08,19.89,17.21,9.9,3.77,3.05,98.02,68.0,17.4,114.06,66.16,30.06,112.27,68.95,33.58
0.4894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36,19.8,17.76,10.2,3.74,3.16,95.69,71.02,17.9,113.38,67.13,32.53,111.49,69.87,35.49
0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.23,19.63,17.59,9.97,3.79,3.11,97.0,69.27,17.58,114.17,66.37,31.06,112.35,69.25,34.74
0.5631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31,19.58,16.67,9.78,3.49,3.1,93.39,72.99,17.57,113.33,67.18,32.2,112.47,69.43,37.17
0.6004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12,20.83,18.3,9.54,3.22,3.17,97.73,68.23,18.43,113.34,66.5,31.83,111.81,69.36,35.27
0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.88,19.28,18.32,9.81,3.62,3.02,97.77,68.61,17.75,114.31,66.01,30.96,111.9,69.16,34.47
0.6754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.89,20.09,17.99,9.87,3.57,2.95,97.22,69.46,17.6,115.71,64.92,32.31,114.96,66.72,37.17
0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78,20.67,17.81,9.64,3.36,3.03,98.54,67.28,17.95,114.53,65.34,30.74,113.06,68.02,34.07
0.7506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,19.77,17.82,9.76,3.49,3.03,98.32,67.68,17.87,114.47,65.45,31.65,113.53,67.15,34.93
0.7866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.06,19.21,17.06,9.9,3.72,3.06,98.53,67.59,17.81,114.91,65.3,31.71,114.1,66.97,35.52
0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,20.2,18.86,9.74,3.22,3.11,98.89,66.35,17.75,114.36,65.31,30.37,113.28,67.42,34.04
0.8619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.65,19.55,18.54,10.04,3.62,2.85,98.64,66.79,17.11,114.98,64.94,29.84,114.15,66.57,34.11
0.8985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,20.73,19.18,9.9,3.4,3.01,99.18,66.15,17.69,114.83,64.61,29.39,113.79,66.81,33.89
0.9348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,19.44,17.42,10.26,3.65,3.2,97.09,69.42,18.12,114.66,65.66,32.42,113.39,67.95,36.35
0.9723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,20.28,17.84,9.49,3.14,3.16,98.83,67.04,17.66,115.16,64.66,29.14,113.55,67.53,33.34
